ID,Resort,Latitude,Longitude,Country,Continent,Price,Season,Highest point,Lowest point,Beginner slopes,Intermediate slopes,Difficult slopes,Total slopes,Longest run,Snow cannons,Surface lifts,Chair lifts,Gondola lifts,Total lifts,Lift capacity,Child friendly,Snowparks,Nightskiing,Summer skiing
3,Golm,47.05781,9.8281668,Austria,Europe,48,December - April,2110,650,13,12,1,26,9,123,4,4,3,11,16240,Yes,No,No,No
9,Hochschwarzeck,47.6283728,12.9205276,Germany,Europe,22,December - April,1385,1030,4,0,0,4,0,0,3,1,0,4,2880,Yes,No,No,No
10,Rossfeld - Berchtesgaden - Oberau,47.6513062,13.0589774,Germany,Europe,20,December - April,1554,1300,7,1,0,8,6,0,4,0,0,4,3229,Yes,Yes,Yes,No
14,Brauneck Lenggries ?Wegscheid,47.674786,11.554735,Germany,Europe,35,December - April,1712,700,8,22,4,34,3,0,16,4,1,21,19100,Yes,No,Yes,No
15,Zermatt - Matterhorn,45.96300885,7.715412186,Switzerland,Europe,81,Year-round,3899,1562,75,220,27,322,16,1060,21,22,20,63,93464,Yes,Yes,No,Yes
35,Wagrain (Ski amedé),47.3336293,13.3031532,Austria,Europe,52,November - April,1980,740,30,81,4,115,6,600,22,16,11,49,75398,Yes,Yes,No,No
36,Kaunertal Glacier (Kaunertaler Gletscher),46.8774734,10.7136205,Austria,Europe,43,September - June,3108,2180,14,4,2,20,5,0,6,2,1,9,13200,Yes,No,No,No
37,Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),47.392906,12.636085,Austria,Europe,53,November - April,2096,830,140,112,18,270,7,927,21,22,28,71,135104,Yes,Yes,Yes,No
39,Reither Kogel-Reith im Alpbachtal,47.4005419,11.8601176,Austria,Europe,46,December - March,1280,670,1,3,0,4,0,0,4,0,1,5,4070,Yes,No,Yes,No
42,Rinerhorn (Davos Klosters),46.74122595,9.798008893,Switzerland,Europe,48,December - March,2490,1454,10,22,8,40,7,14,6,0,1,7,6900,Yes,Yes,No,No
43,Madrisa (Davos Klosters),46.9097225,9.877450678,Switzerland,Europe,52,December - March,2611,1142,6,9,9,24,8,9,7,2,1,10,6640,Yes,Yes,No,No
44,Jakobshorn (Davos Klosters),46.772399,9.8493406,Switzerland,Europe,58,December - April,2590,1540,25,13,2,40,6,140,5,5,3,13,15800,Yes,Yes,No,No
45,Glacier 3000 / Les Diablerets,46.3511021,7.1566435,Switzerland,Europe,54,October - May,3016,1343,9,3,12,24,8,0,4,3,3,10,10260,Yes,Yes,No,No
47,Obergurgl-Hochgurgl,46.879426,11.0387065,Austria,Europe,50,November - May,3082,1793,35,55,20,110,8,320,13,7,8,28,38861,Yes,Yes,Yes,No
55,Stubai Glacier,46.995462,11.14049,Austria,Europe,46,September - June,3212,1697,19,15,4,38,10,69,14,7,5,26,39784,Yes,Yes,No,No
76,Kleine Scheidegg / ?Ma?nnlichen-Grindelwald / ?Wengen,46.5850987,7.9608968,Switzerland,Europe,55,November - April,2320,944,33,56,13,102,13,0,10,10,6,26,29250,Yes,No,No,No
92,Kitzsteinhorn - Kaprun,47.1880444,12.6874982,Austria,Europe,50,July,3029,1978,13,25,3,41,5,105,5,5,7,17,33598,Yes,Yes,No,Yes
96,Sölden,46.9673961,11.0070193,Austria,Europe,53,September - May,3340,1350,70,44,29,143,15,363,12,16,8,36,70370,Yes,Yes,Yes,No
97,Kuühtai,47.212049,11.017326,Austria,Europe,37,November - April,2520,1938,6,26,8,40,4,80,6,5,1,12,17254,Yes,Yes,Yes,No
99,Obertauern,47.2494362,13.5569603,Austria,Europe,46,November - May,2313,1630,61,35,4,100,5,280,11,18,2,31,50797,Yes,Yes,Yes,No
100,Elfer Neustift,47.1064691,11.3079828,Austria,Europe,29,December - March,2080,981,0,7,0,7,5,0,3,0,1,4,2980,Yes,No,No,No
101,Serfaus-Fiss-Ladis,47.0530324,10.61913705,Austria,Europe,49,December - April,2820,1200,47,123,28,198,10,1250,40,16,12,68,78460,Yes,Yes,Yes,No
102,Hochko?nig-Maria Alm/?Dienten/?Mu?hlbach,47.38650655,12.95641323,Austria,Europe,52,December - April,1900,800,52,41,19,112,9,520,21,9,5,35,49232,Yes,Yes,Yes,No
103,Mayrhofen-Penken/?Ahorn/?Rastkogel/?Eggalm,47.1672188,11.8638664,Austria,Europe,52,December - April,2500,630,40,66,30,136,10,286,31,17,9,57,82432,Yes,Yes,No,No
104,St. Anton (Ski Arlberg),47.18265425,10.14043361,Austria,Europe,53,December - April,2811,1270,130,123,51,304,10,747,53,45,15,113,145127,Yes,Yes,No,No
105,Axamer Lizum,47.1943801,11.3030187,Austria,Europe,38,November - April,2340,1580,7,21,2,30,3,0,3,6,1,10,13322,Yes,Yes,No,No
106,Flachau (Ski amedé),47.3438501,13.3922888,Austria,Europe,52,November - April,1980,740,30,81,4,115,0,600,22,16,11,49,75398,Yes,Yes,No,No
107,Ski Juwel Alpbachtal Wildscho?nau,47.395203,11.92651,Austria,Europe,46,December - April,2025,830,25,53,13,91,7,294,32,7,8,47,52789,Yes,Yes,Yes,No
108,Ischgl,46.9862824,10.27451769,Austria,Europe,52,November - May,2872,1377,47,142,49,238,11,1200,13,25,7,45,88215,Yes,Yes,No,No
109,Bad Gastein,47.1144954,13.1352653,Austria,Europe,52,November - April,2300,860,30,52,2,84,10,800,10,9,7,26,32699,Yes,Yes,No,No
110,Gargellen,46.9721035,9.9187223,Austria,Europe,47,December - April,2300,1423,20,5,2,27,6,83,5,3,1,9,10650,Yes,Yes,No,No
111,Lech (Ski Arlberg),47.18265425,10.14043361,Austria,Europe,53,December - April,2811,1270,130,123,51,304,6,747,53,45,15,113,145127,Yes,Yes,No,No
112,Kitzbühel / Kirchberg (KitzSki),47.4463585,12.3911473,Austria,Europe,55,October - April,2000,800,101,61,17,179,8,1102,15,28,11,54,92510,Yes,Yes,Yes,No
113,Galtu?r,46.9194554,10.17059035,Austria,Europe,40,December - April,2300,1600,6,25,12,43,4,133,9,2,2,13,15442,Yes,Yes,Yes,No
114,Fieberbrunn - Saalbach Hinterglemm Leogang (Skicircus),47.45518755,12.54442426,Austria,Europe,53,November - April,2096,830,140,112,18,270,0,927,21,22,28,71,135104,Yes,Yes,Yes,No
115,Schladming (4-Berge-Skischauke),47.3940415,13.6867878,Austria,Europe,52,April,2015,745,46,68,8,122,4,600,16,20,10,46,71842,Yes,Yes,Yes,No
116,Ellmau (SkiWelt Wilder Kaiser-Brixental),47.51927245,12.29224775,Austria,Europe,49,December - April,1957,620,122,129,33,284,7,1700,54,35,16,105,147250,Yes,Yes,Yes,No
117,Zauchensee,47.2933062,13.4568962,Austria,Europe,52,April,2188,1000,23,16,4,43,6,113,9,6,4,19,25988,Yes,Yes,No,No
118,Westendorf (SkiWelt Wilder Kaiser-Brixental),47.3831879,12.22174856,Austria,Europe,49,December - April,1957,620,122,129,33,284,0,1700,54,35,16,105,147250,Yes,Yes,Yes,No
119,Silvretta Montafon,47.03503335,9.976778589,Austria,Europe,53,November - April,2430,700,60,45,8,113,12,330,25,18,10,53,67472,Yes,Yes,No,No
120,Zürs (Ski Arlberg),47.194717,10.160198,Austria,Europe,53,December - April,2811,1270,130,123,51,304,0,747,53,45,15,113,145127,Yes,Yes,No,No
121,Söll (SkiWelt Wilder Kaiser-Brixental),47.503178,12.190132,Austria,Europe,49,December - April,1957,620,122,129,33,284,0,1700,54,35,16,105,147250,Yes,Yes,Yes,No
122,St. Johann in Tirol,47.5224141,12.4286809,Austria,Europe,44,December - April,1604,659,16,23,3,42,8,260,12,4,4,20,21100,Yes,No,Yes,No
123,St. Christoph (Ski Arlberg),47.022264,15.4708255,Austria,Europe,53,December - April,2811,1270,130,123,51,304,0,747,53,45,15,113,145127,Yes,Yes,No,No
128,Saas-Fee,46.107342,7.9247055,Switzerland,Europe,63,July - April,3573,1800,20,60,20,100,14,102,14,2,9,25,25160,Yes,Yes,No,Yes
134,Cervinia,45.96300885,7.715412186,Switzerland,Europe,81,Year-round,3899,1562,75,220,27,322,0,1060,21,22,20,63,93464,Yes,Yes,No,Yes
135,Wasserngrat (Gstaad),46.4643909,7.3169684,Switzerland,Europe,54,December - March,1900,1275,3,3,2,8,0,0,0,1,0,1,900,Yes,No,No,No
136,Wispile (Gstaad),46.4518335,7.296177853,Switzerland,Europe,54,December - March,1941,1046,3,3,1,7,0,0,3,0,2,5,3601,Yes,No,Yes,No
137,Crans-Montana,46.3304899,7.526435804,Switzerland,Europe,60,November - April,1510,540,55,70,15,140,12,0,12,6,5,23,29500,Yes,Yes,No,No
138,Brunni - Engelberg,46.84087305,8.410638259,Switzerland,Europe,38,December - April,2040,1050,2,3,2,7,0,0,3,1,1,5,2577,Yes,No,No,No
139,Arosa Lenzerheide,46.7548885,9.566024408,Switzerland,Europe,63,October - April,2865,1229,111,87,27,225,4,0,24,18,8,50,63936,Yes,Yes,Yes,No
140,Verbier (4 Valle?es),46.1003545,7.276506393,Switzerland,Europe,66,December - April,3330,821,107,202,103,412,8,0,39,17,19,75,85022,Yes,Yes,Yes,No
141,St. Moritz - Corviglia,46.5079945,9.818959,Switzerland,Europe,69,November - April,3057,1720,42,79,34,155,6,170,11,12,5,28,31220,Yes,Yes,No,No
143,Nendaz (4 Valle?es),46.1003545,7.276506393,Switzerland,Europe,66,December - April,3330,821,107,202,103,412,8,0,39,17,19,75,85022,Yes,Yes,Yes,No
144,Villars -? Gryon / Les Diablerets,46.3289335,7.1096087,Switzerland,Europe,54,December - April,2120,1224,51,45,4,100,0,0,20,9,4,33,38905,Yes,Yes,No,No
145,Thyon (4 Valle?es),46.1003545,7.276506393,Switzerland,Europe,66,December - April,3330,821,107,202,103,412,8,0,39,17,19,75,85022,Yes,Yes,Yes,No
146,Veysonnaz (4 Valle?es),46.1003545,7.276506393,Switzerland,Europe,66,December - April,3330,821,107,202,103,412,8,0,39,17,19,75,85022,Yes,Yes,Yes,No
147,Buchenberg-Buching-Halblech-,47.606423,10.8106751,Germany,Europe,25,December - March,1140,810,2,4,0,6,0,0,2,1,0,3,2800,Yes,No,No,No
148,Alpendorf (Ski amedé),47.3225067,13.1954241,Austria,Europe,52,November - April,1980,740,30,81,4,115,0,600,22,16,11,49,75398,Yes,Yes,No,No
157,Laax-?Flims-?Falera,46.849618,9.217180661,Switzerland,Europe,68,October - April,3018,1100,88,81,19,188,14,300,13,9,11,33,46116,Yes,Yes,No,No
161,Zillertal Arena-Zell am Ziller-?Gerlos-?Ko?nigsleiten-?Hochkrimml,47.24372605,12.03918599,Austria,Europe,52,December - April,2500,580,43,89,11,143,10,792,22,21,13,56,89415,Yes,Yes,No,No
174,Obersaxen-?Mundaun-?Val Lumnezia,46.7487613,9.1022712,Switzerland,Europe,51,December - April,2310,1201,60,40,20,120,15,297,10,9,0,19,20720,Yes,Yes,Yes,No
176,Corvatsch-?Furtschellas,46.4450516,9.819511761,Switzerland,Europe,69,November - May,3303,1797,13,89,17,119,9,0,5,6,3,14,18510,Yes,Yes,Yes,No
180,Nassfeld-Hermagor,46.58465625,13.24612886,Austria,Europe,46,December - April,2002,600,30,69,11,110,7,483,16,9,5,30,49386,Yes,Yes,Yes,No
183,Aletsch Arena-Riederalp-?Bettmeralp-?Fiesch Eggishorn,46.3895305,8.0609271,Switzerland,Europe,53,December - April,1845,759,42,50,12,104,4,258,18,8,12,38,41109,Yes,Yes,Yes,No
184,Bad Kleinkirchheim-?St. Oswald,46.8442215,13.7662406,Austria,Europe,47,December - April,2055,1087,18,77,8,103,7,800,17,7,4,28,31186,Yes,Yes,Yes,No
201,Parsenn (Davos Klosters),46.842102,9.835342208,Switzerland,Europe,61,November - April,2844,810,20,60,16,96,12,169,4,6,8,18,26795,Yes,Yes,No,No
205,Oberau (Wildscho?nau),47.4234974,12.0307428,Austria,Europe,30,December - March,1130,900,1,0,1,2,0,0,2,0,0,2,1932,Yes,No,No,No
219,Adelboden-?Lenk-Chuenisba?rgli-?Silleren-?Hahnenmoos-?Metsch,46.4927213,7.5587618,Switzerland,Europe,55,December - April,1260,1072,44,38,6,88,6,500,12,8,6,26,34620,Yes,Yes,Yes,No
220,Rinderberg-?Saanerslochgrat-?Horneggli-Zweisimmen-?Saanenmo?ser-?Scho?nried-?St. Stephan,46.9463748,8.0499977,Switzerland,Europe,54,December - April,2011,948,62,21,4,87,0,0,9,8,4,21,18360,Yes,Yes,Yes,No
222,Graukogel-Bad Gastein,47.1110862,13.15623357,Austria,Europe,36,December - March,2007,1079,3,6,2,11,0,0,1,2,0,3,3352,Yes,No,No,No
228,Kaltenbach-Hochzillertal-?Hochfu?gen-SKi-optimal-,47.27705405,11.8486795,Austria,Europe,52,November - April,2378,600,28,41,13,82,11,400,22,12,5,39,59933,Yes,Yes,Yes,No
230,Grimentz-?Zinal,46.1776631,7.5744978,Switzerland,Europe,51,December - April,2900,1570,26,28,26,80,0,96,13,5,3,21,19345,Yes,Yes,No,No
236,Damu?ls Mellau,47.314039,9.894201083,Austria,Europe,49,December - April,2050,690,37,39,1,77,7,130,10,13,2,25,37160,Yes,Yes,No,No
240,Zell am See,47.3239636,12.7963165,Austria,Europe,50,December - April,2000,760,30,28,19,77,6,450,9,10,8,27,48407,Yes,Yes,Yes,No
247,Titlis-Engelberg,46.8228773,8.400657035,Switzerland,Europe,57,October - May,3020,1000,34,26,12,72,12,180,7,6,7,20,23316,Yes,Yes,No,No
249,Nauders am Reschenpass-Bergkastel,46.87101815,10.53500477,Austria,Europe,42,December - April,2850,1400,24,34,13,71,9,92,11,5,1,17,17651,Yes,Yes,No,No
252,Grossarltal-?Dorfgastein,47.23837965,13.17939658,Austria,Europe,50,December - April,2033,850,25,43,1,69,8,0,7,8,5,20,29710,Yes,Yes,No,No
255,Katschberg,47.0593103,13.615553,Austria,Europe,46,November - April,2220,1066,10,50,10,70,6,750,9,6,2,17,26458,Yes,Yes,Yes,No
257,Savognin,46.596957,9.5981493,Switzerland,Europe,50,December - April,2713,1200,32,38,0,70,11,100,10,2,1,13,14000,Yes,Yes,Yes,No
258,Scuol-Motta Naluns,46.811169,10.2726212,Switzerland,Europe,50,December - April,2785,1250,27,32,11,70,10,136,6,6,1,13,18000,Yes,Yes,No,No
267,Flumserberg,47.0828502,9.276589934,Switzerland,Europe,51,November - April,665,425,10,38,17,65,6,0,9,8,4,21,30867,Yes,Yes,Yes,No
